Player,Role,Avg_Price_Cr,Max_Price_Cr,Times_Auctioned,Total_Runs,Balls_Faced,Strike_Rate,Total_Wickets,Economy_Rate,Runs_Norm,SR_Norm,Wickets_Norm,Performance_Score_Raw,Performance_Score,Value_Flag
Aaron Finch,Batsman,3.76,6.2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Abdul Samad,All-Rounder,0.2,0.2,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3333333333333333,0.6,0.4,Fair Price
Abhijeet Tomar,Batsman,0.4,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Abhimanyu Mithun,Bowler,0.3,0.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Abhinav Sadarangani,Batsman,2.6,2.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Abhishek Nayar,All-Rounder,3.03,5.06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Abhishek Sharma,All-Rounder,3.52,6.5,2,667.0,493.0,135.29,7.0,0.0,17.12451861360719,98.100210282068,4.666666666666666,309.49,37.68,Good Value
Abu Nechim Ahmed,Bowler,0.3,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Adam Milne,Bowler,1.93,3.2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Adam Zampa,Bowler,0.3,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Aditya Garhwal,All-Rounder,0.25,0.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Aditya Tare,Wicket Keeper,0.81,1.6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Agnivesh Ayachi,All-Rounder,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Aiden Blizzard,Batsman,0.3,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Aiden Markram,Batsman,2.6,2.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Ajantha Mendis,Bowler,5.44,5.44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overpriced
Ajinkya Rahane,Batsman,2.5,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Akash Deep,Bowler,0.2,0.2,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.333333333333333,1.5,1.0,Fair Price
Akash Singh,Bowler,0.2,0.2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Akhil Arvind Herwadkar,All-Rounder,0.1,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Akila Dananjaya,All-Rounder,0.15,0.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Akila Dhananjaya,Bowler,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Akshar Rajesh Patel,All-Rounder,0.75,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
